restaurant_id,name,normalized_name,normalized_address,source_names,source_record_ids
25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,quán mùa - cơm gà & bún miến trộn - tây sơn,"101a5 ngõ 167 tây sơn, quang trung, đống đa, hà nội",befood|foody,25639
97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn","nabi bún chả quạt, cơm tấm & cơm văn phòng - tây sơn","55c ngách 25 ngõ 167 tây sơn, phường quang trung, quận đống đa, hà nội",befood|foody,97742
130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo","phở bò nội - bún chả, cháo & cơm - trần hưng đạo","94a trần hưng đạo, phường cửa nam, hà nội",befood|foody,130307
22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,phuongkitchen - cơm & đồ ăn vặt - ngõ chùa liên phái bạch mai,"22 ngách 55 ngõ chùa liên phái bạch mai, phường cầu dền, quận hai bà trưng, hà nội",befood|foody,22758
11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,thiên trường - phở cồ & cơm gà xối mắm - giải phóng,"15 ngõ 75 giải phóng, đồng tâm, đống đa, hà nội",befood|foody,11471
11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,huỳnh duyên - cơm văn phòng & nước ép - giải phóng,"17 ngõ 205 giải phóng, p. đồng tâm, quận hai bà trưng, hà nội",befood|foody,11326
8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,phở bò cơm rang duy nhất - giải phóng,"16 ngõ 205 giải phóng, phường bạch mai , hà nội",befood|foody,8314
126147,"Nhà Hàng Bin Bo - Bún Riêu Cua, Cơm Rang & Phở Xào - Phương Mai","nhà hàng bin bo - bún riêu cua, cơm rang & phở xào - phương mai","11 ngách 8 ngõ 4 phương mai, phường kim liên, hà nội",befood|foody,126147
127398,"Vũ Gia - Phở Gà, Bún Thang & Cơm Gà Xối Mỡ - Phố Huế","vũ gia - phở gà, bún thang & cơm gà xối mỡ - phố huế","337 phố huế, phường hai bà trưng, hà nội",befood|foody,127398
124125,Gà Rán BigBites - Cơm Gà & Bánh Gà - Đại La,gà rán bigbites - cơm gà & bánh gà - đại la,"60e2 ngõ 128c đại la, phường bạch mai, hà nội",befood|foody,124125
59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,quán hà nội xưa - bún chả - trường chinh,"35 ngõ 102, trường chinh, phương mai, đống đa, hà nội",befood|foody,59967
135569,Cơm Bò Ngon - Trường Chinh,cơm bò ngon - trường chinh,"58d ngõ 5 trường chinh, phường tương mai, hà nội",befood|foody,135569
