query_node_id,user_id,time_query,query_lat,query_lng,area_id,query_location_hint,time_slot_id,term,desired_price_range_id,preferred_aspects,raw_preferred_aspects,distance_tolerance_m,store_node_id,store_id,store_name,rank,relevance_score,relevance_weight,distance_m,rating,review_count,median_price,latitude,longitude,is_closed,reason,raw_query,normalized_query,semantic_chunks_json,label_source,clicked,created_at
query:34cf97f9-f288-4dd3-9f12-b0d630cba087,,2026-06-02T13:13:12+00:00,,,bach khoa,bach khoa,,com ga,under_50k,distance,distance,,store:36034,36034,Bảo An Quán - Bánh Cuốn Phủ Lý - Trương Định,1,1.0,1.0,,4.6,98.0,,,,,"[{'source': 'menu', 'source_record_id': '2444195', 'field': 'menu_items', 'value': '1 suât bánh cuốn phủ lý'}, {'source': 'menu', 'source_record_id': '2444196', 'field': 'menu_items', 'value': '1 suất bún chả'}, {'source': 'menu', 'source_record_id': '2444199', 'field': 'menu_items', 'value': '1 thịt nướng'}, {'source': 'review', 'source_record_id': 'tu_0c96fee6026f690f', 'field': 'text_units', 'value': 'Tên quán: Bảo An Quán - Bánh Cuốn Phủ Lý - Trương Định\nNguồn: befood_comment\nRating người ",toi muon an com ga gan Bach Khoa gia duoi 50k,,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:13:12+00:00
query:f29d7ecf-5207-49c4-a727-cc4133a6da67,,2026-06-02T13:22:06+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:116156,116156,Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công,1,1.0,1.0,,4.0,10.0,,,,,"[{'source': 'menu', 'source_record_id': '9774862', 'field': 'menu_items', 'value': 'Bánh cuốn Cao Bằng'}, {'source': 'menu', 'source_record_id': '9774868', 'field': 'menu_items', 'value': 'Bánh cuốn chấm'}, {'source': 'menu', 'source_record_id': '9774875', 'field': 'menu_items', 'value': 'Phở vịt quay măng'}, {'source': 'review', 'source_record_id': 'tu_69f1e84d1d3282f6', 'field': 'text_units', 'value': 'Tên quán: Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công\nNguồn: befood_comment\nRating người","tim quan com ga gan Bach Khoa duoi 50k, uu tien rating cao",,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:22:06+00:00
query:f29d7ecf-5207-49c4-a727-cc4133a6da67,,2026-06-02T13:22:08+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:116156,116156,Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công,1,1.0,1.0,,4.0,10.0,,,,,"[{'source': 'menu', 'source_record_id': '9774862', 'field': 'menu_items', 'value': 'Bánh cuốn Cao Bằng'}, {'source': 'menu', 'source_record_id': '9774868', 'field': 'menu_items', 'value': 'Bánh cuốn chấm'}, {'source': 'menu', 'source_record_id': '9774875', 'field': 'menu_items', 'value': 'Phở vịt quay măng'}, {'source': 'review', 'source_record_id': 'tu_69f1e84d1d3282f6', 'field': 'text_units', 'value': 'Tên quán: Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công\nNguồn: befood_comment\nRating người","tim quan com ga gan Bach Khoa duoi 50k, uu tien rating cao",,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:22:08+00:00
query:f29d7ecf-5207-49c4-a727-cc4133a6da67,,2026-06-02T13:22:12+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:22815,22815,Bánh Cuốn Cao Bằng - Thể Giao,2,1.0,1.0,,4.8,314.0,,,,,"[{'source': 'menu', 'source_record_id': '744806', 'field': 'menu_items', 'value': 'Bánh Cuốn Trứng Giò Cao Bằng'}, {'source': 'menu', 'source_record_id': '744811', 'field': 'menu_items', 'value': 'Bánh Vàng'}, {'source': 'menu', 'source_record_id': '744814', 'field': 'menu_items', 'value': 'Bánh Cuốn Trứng'}, {'source': 'review', 'source_record_id': 'tu_91c5da78638b0beb', 'field': 'text_units', 'value': 'Tên quán: Bánh Cuốn Cao Bằng - Thể Giao\nNguồn: befood_comment\nRating người dùng: 4.8\nSent","tim quan com ga gan Bach Khoa duoi 50k, uu tien rating cao",,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:22:12+00:00
query:f29d7ecf-5207-49c4-a727-cc4133a6da67,,2026-06-02T13:22:15+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:97742,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4,1.0,1.0,,4.3,11.0,,,,,"[{'source': 'menu', 'source_record_id': '7670605', 'field': 'menu_items', 'value': 'Cơm thịt lợn mường xào xả ớt'}, {'source': 'menu', 'source_record_id': '9050411', 'field': 'menu_items', 'value': 'Cơm thịt kho tàu - trứng cút'}, {'source': 'menu', 'source_record_id': '9050419', 'field': 'menu_items', 'value': 'Cơm chả lá lốt vị nhà làm'}, {'source': 'review', 'source_record_id': 'tu_037157be32ed104c', 'field': 'text_units', 'value': 'Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây S","tim quan com ga gan Bach Khoa duoi 50k, uu tien rating cao",,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:22:15+00:00
query:f29d7ecf-5207-49c4-a727-cc4133a6da67,,2026-06-02T13:22:24+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:111742,111742,Fami Cháo - Cháo Dinh Dưỡng Cao Cấp - 404 Bạch Mai,5,1.0,1.0,,5.0,26.0,,,,,"[{'source': 'menu', 'source_record_id': '9359634', 'field': 'menu_items', 'value': 'Cháo cao lớn Ghẹ hấp quinoa'}, {'source': 'menu', 'source_record_id': '9359641', 'field': 'menu_items', 'value': 'Cháo tăng cân Sườn hầm sen dừa'}, {'source': 'menu', 'source_record_id': '9359650', 'field': 'menu_items', 'value': 'Cháo tiêu hoá Gà tiềm sen táo đỏ'}, {'source': 'review', 'source_record_id': 'tu_9fdbf090d288e2f7', 'field': 'text_units', 'value': 'Tên quán: Fami Cháo - Cháo Dinh Dưỡng Cao Cấp - 404 ","tim quan com ga gan Bach Khoa duoi 50k, uu tien rating cao",,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T13:22:24+00:00
query:5af515c5-42fc-4c52-9c8c-0df4b02c3261,,2026-06-02T15:02:30+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,5,1.0,1.0,,4.7,173.0,,,,,"[{'source': 'menu', 'source_record_id': '1005079', 'field': 'menu_items', 'value': 'Phở xào mềm bò'}, {'source': 'menu', 'source_record_id': '1005080', 'field': 'menu_items', 'value': 'Phở xào giòn bò'}, {'source': 'menu', 'source_record_id': '1005081', 'field': 'menu_items', 'value': 'Phở xào giòn tim'}, {'source': 'review', 'source_record_id': 'tu_ed697290ea2a7085', 'field': 'text_units', 'value': 'Tên quán: Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai\nNguồn: befood_comment\nRating người","tìm quán cơm gà gần Bách Khoa dưới 50k, ưu tiên rating cao",tim quan com ga gan bach khoa duoi 50k uu tien rating cao,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""normalized_query"": ""tim quan com ga gan bach khoa duoi 50k uu tien rating cao"", ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T15:02:30+00:00
query:092e59b2-55be-4a6e-9450-53fb969fede3,,2026-06-02T15:36:25+00:00,,,bach khoa,bach khoa,,com ga,under_50k,rating|distance,rating|distance,,store:11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,1,1.0,1.0,,4.5,39.0,,,,,"khớp term: com, com ga; cách query 327m; rating 4.5; price_min 10000; opening_status=open","tìm quán cơm gà gần Bách Khoa dưới 50k, ưu tiên rating cao",tim quan com ga gan bach khoa duoi 50k uu tien rating cao,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""normalized_query"": ""tim quan com ga gan bach khoa duoi 50k uu tien rating cao"", ""priority"": [""rating"", ""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T15:36:25+00:00
query:6dfb681d-62fb-49c6-ae5c-aa6994ecafeb,,2026-06-02T15:38:12+00:00,,,bach khoa,bach khoa,,com ga,under_50k,distance,distance,,store:40980,40980,Cơm Thố Bách Khoa - Lương Định Của,2,1.0,1.0,,4.8,310.0,,,,,"[{'source': 'menu', 'source_record_id': '9219335', 'field': 'menu_items', 'value': 'Cơm thố Gà - Trứng'}, {'source': 'menu', 'source_record_id': '2965481', 'field': 'menu_items', 'value': 'CƠM THỐ ĐẶC BIỆT'}, {'source': 'menu', 'source_record_id': '6410385', 'field': 'menu_items', 'value': 'CƠM THỐ MIX 2 vị'}, {'source': 'review', 'source_record_id': 'tu_c6fcefdfcd9d111c', 'field': 'text_units', 'value': 'Tên quán: Cơm Thố Bách Khoa - Lương Định Của\nNguồn: befood_comment\nRating người dùng: 4.8","tìm quán cơm gà gần Bách Khoa dưới 50k
o",tim quan com ga gan bach khoa duoi 50k o,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""normalized_query"": ""tim quan com ga gan bach khoa duoi 50k o"", ""priority"": [""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T15:38:12+00:00
query:70753369-0ab6-479d-9412-1ff6e2bc4e48,,2026-06-02T15:43:34+00:00,,,bach khoa,bach khoa,,com ga,under_50k,distance,distance,,store:40980,40980,Cơm Thố Bách Khoa - Lương Định Của,1,1.0,1.0,,4.8,310.0,,,,,"[{'source': 'menu', 'source_record_id': '9219335', 'field': 'menu_items', 'value': 'Cơm thố Gà - Trứng'}, {'source': 'menu', 'source_record_id': '2965481', 'field': 'menu_items', 'value': 'CƠM THỐ ĐẶC BIỆT'}, {'source': 'menu', 'source_record_id': '6410385', 'field': 'menu_items', 'value': 'CƠM THỐ MIX 2 vị'}, {'source': 'review', 'source_record_id': 'tu_c6fcefdfcd9d111c', 'field': 'text_units', 'value': 'Tên quán: Cơm Thố Bách Khoa - Lương Định Của\nNguồn: befood_comment\nRating người dùng: 4.8",tôi muốn ăn cơm gà gần Bách Khoa giá dưới 50k,toi muon an com ga gan bach khoa gia duoi 50k,"{""cuisine"": null, ""food"": ""com ga"", ""location"": ""bach khoa"", ""max_price"": 50000, ""normalized_query"": ""toi muon an com ga gan bach khoa gia duoi 50k"", ""priority"": [""distance""], ""time_constraint"": null}",restaurant_detail_click,true,2026-06-02T15:43:34+00:00
