text_unit_id,review_id,store_key,store_name,rating,rated_at,sentiment,aspect_scores,source,feedback,chunk_text,chunk_index,n_chunks
tu_15034de1df0b4e9a,15034de1df0b4e9a,25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,4.6,,neutral,{},befood_comment,"ngon đấy, Ngon xỉu","Tên quán: Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.6
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: ngon đấy, Ngon xỉu",0,1
tu_8ea2b2b2c0447f44,8ea2b2b2c0447f44,25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,4.6,,neutral,{},befood_comment,đặt phở cho bún?,"Tên quán: Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.6
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: đặt phở cho bún?",0,1
tu_d2292fdad09da78a,d2292fdad09da78a,25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,4.6,,neutral,{},befood_comment,bún ngan trộn của mình có cả gián ???,"Tên quán: Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.6
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: bún ngan trộn của mình có cả gián ???",0,1
tu_d7985d984f2378be,d7985d984f2378be,25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,4.6,,neutral,{},befood_comment,bán đồ ăn ko có tâm. bán bún gà mà ko cho tương ớt chanh. rau sống. ăn 1 lần sợ vl,"Tên quán: Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.6
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: bán đồ ăn ko có tâm. bán bún gà mà ko cho tương ớt chanh. rau sống. ăn 1 lần sợ vl",0,1
tu_037157be32ed104c,037157be32ed104c,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,"cơm quá tệ, Không hợp khẩu vị, Đóng gói chưa tốt","Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: cơm quá tệ, Không hợp khẩu vị, Đóng gói chưa tốt",0,1
tu_0372b2ecb8c342a2,0372b2ecb8c342a2,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,Ngon xỉu,"Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu",0,1
tu_7ae42d66486164bb,7ae42d66486164bb,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,"Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt","Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt",0,1
tu_feeb28ca8361cf2c,feeb28ca8361cf2c,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,Đáng đồng tiền,"Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đáng đồng tiền",0,1
tu_7c4646359cd75afd,7c4646359cd75afd,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,"Ăn bún chả là chỉ nghĩ đến nhà Nabi, vị đậm đà ngon và rất yên tâm về thực phẩm 🥰, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt, Ngon xỉu","Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ăn bún chả là chỉ nghĩ đến nhà Nabi, vị đậm đà ngon và rất yên tâm về thực phẩm 🥰, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt, Ngon xỉu",0,1
tu_e30ba8949ea2d587,e30ba8949ea2d587,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt","Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",0,1
tu_aacd67ada15eea36,aacd67ada15eea36,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",4.3,,neutral,{},befood_comment,cơm sườn chả trứng mà k có chả trứng,"Tên quán: NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn
Nguồn: befood_comment
Rating người dùng: 4.3
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: cơm sườn chả trứng mà k có chả trứng",0,1
tu_bc9541e1fead26dd,bc9541e1fead26dd,130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo",4.8,,neutral,{},befood_comment,"Ngon xỉu, Đóng gói tốt, Đáng đồng tiền","Tên quán: Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đóng gói tốt, Đáng đồng tiền",0,1
tu_4fa57277909c072f,4fa57277909c072f,130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo",4.8,,neutral,{},befood_comment,"Đáng đồng tiền, Đóng gói tốt, Ngon xỉu","Tên quán: Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đáng đồng tiền, Đóng gói tốt, Ngon xỉu",0,1
tu_ca0d927e46b103bd,ca0d927e46b103bd,130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo",4.8,,neutral,{},befood_comment,"ghi chú phần bò tái ko trần thì lại trần kỹ cứng hết cả, thịt chín nạm thì ko thấy đâu, Sai/Thiếu món, Không làm đúng ghi chú","Tên quán: Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: ghi chú phần bò tái ko trần thì lại trần kỹ cứng hết cả, thịt chín nạm thì ko thấy đâu, Sai/Thiếu món, Không làm đúng ghi chú",0,1
tu_5fa5fb7203c1385f,5fa5fb7203c1385f,22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,4.7,,neutral,{},befood_comment,Đáng đồng tiền,"Tên quán: PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai
Nguồn: befood_comment
Rating người dùng: 4.7
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đáng đồng tiền",0,1
tu_8a694549684838e9,8a694549684838e9,22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,4.7,,neutral,{},befood_comment,"Ngon xỉu, Sạch sẽ, Đóng gói tốt","Tên quán: PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai
Nguồn: befood_comment
Rating người dùng: 4.7
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Sạch sẽ, Đóng gói tốt",0,1
tu_7959f3533c185ec2,7959f3533c185ec2,22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,4.7,,neutral,{},befood_comment,"Không hợp khẩu vị, Đóng gói chưa tốt","Tên quán: PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai
Nguồn: befood_comment
Rating người dùng: 4.7
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Không hợp khẩu vị, Đóng gói chưa tốt",0,1
tu_244cbf6cab9d40b3,244cbf6cab9d40b3,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"Quán đóng gói không cẩn thận.cả cơm và mì đều lèo tèo quá ít so với các chi nhánh khác., Đóng gói chưa tốt","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Quán đóng gói không cẩn thận.cả cơm và mì đều lèo tèo quá ít so với các chi nhánh khác., Đóng gói chưa tốt",0,1
tu_d3c0592d59330390,d3c0592d59330390,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,Sạch sẽ,"Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Sạch sẽ",0,1
tu_3290b898adddc379,3290b898adddc379,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"Đóng gói tốt, Sạch sẽ","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đóng gói tốt, Sạch sẽ",0,1
tu_d94674e82246cc30,d94674e82246cc30,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,Đóng gói tốt,"Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đóng gói tốt",0,1
tu_50199678ae31aa77,50199678ae31aa77,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ",0,1
tu_b31bafef6a6c5f4f,b31bafef6a6c5f4f,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"Ngon xỉu, Sạch sẽ, Đóng gói tốt, Khác","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Sạch sẽ, Đóng gói tốt, Khác",0,1
tu_58884e5ebe3ac1c9,58884e5ebe3ac1c9,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"Ngon xỉu, Đóng gói tốt","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đóng gói tốt",0,1
tu_2e8f091631a99785,2e8f091631a99785,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,Sai/Thiếu món,"Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Sai/Thiếu món",0,1
tu_851efab10ca73713,851efab10ca73713,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,Khá ngon,"Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Khá ngon",0,1
tu_db76f1976fb4e848,db76f1976fb4e848,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,4.5,,neutral,{},befood_comment,"quán làm ăn cực kỳ tệ mình mua gửi bác đang nằm ở viện ung bướu( bác bị u.thu) dặn không hành rất to rồi nhưng vẫn cho 1 đống. bác ốm và không ăn được chút nào cả. cực kỳ bực bội, Không hợp khẩu vị, Sai/Thiếu món, Không làm đúng ghi chú","Tên quán: Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.5
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: quán làm ăn cực kỳ tệ mình mua gửi bác đang nằm ở viện ung bướu( bác bị u.thu) dặn không hành rất to rồi nhưng vẫn cho 1 đống. bác ốm và không ăn được chút nào cả. cực kỳ bực bội, Không hợp khẩu vị, Sai/Thiếu món, Không làm đúng ghi chú",0,1
tu_38ef02ba212b466a,38ef02ba212b466a,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,4.8,,neutral,{},befood_comment,Đáng đồng tiền,"Tên quán: Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Đáng đồng tiền",0,1
tu_bc445469771870b9,bc445469771870b9,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,4.8,,neutral,{},befood_comment,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt","Tên quán: Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",0,1
tu_e90946fe5e330b0d,e90946fe5e330b0d,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,4.8,,neutral,{},befood_comment,"Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ","Tên quán: Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng
Nguồn: befood_comment
Rating người dùng: 4.8
Sentiment tổng hợp: neutral
Aspect sentiment: 
Nội dung review: Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ",0,1
